运动量,活跃时长,活跃状态,温度,电压,时间
188381,136092,4,3543,3151,2021-11-11 00:38:36
188381,136092,4,3543,3150,2021-11-11 00:43:36
188381,136092,4,3545,3154,2021-11-11 00:48:36
188384,136092,4,3552,3154,2021-11-11 00:53:37
188384,136092,4,3539,3152,2021-11-11 00:58:37
188386,136092,4,3543,3152,2021-11-11 01:03:37
188389,136092,4,3552,3155,2021-11-11 01:08:37
188393,136092,4,3548,3151,2021-11-11 01:13:38
188393,136092,4,3546,3152,2021-11-11 01:18:38
188395,136092,4,3557,3153,2021-11-11 01:23:38
188395,136092,4,3565,3154,2021-11-11 01:28:39
188395,136092,4,3567,3152,2021-11-11 01:33:39
188401,136092,4,3565,3152,2021-11-11 01:38:39
188439,136092,4,3569,3153,2021-11-11 01:43:40
188446,136092,4,3494,3154,2021-11-11 01:48:40
188490,136106,4,3540,3152,2021-11-11 01:53:40
188490,136106,4,3569,3154,2021-11-11 01:58:41
188491,136106,4,3592,3156,2021-11-11 02:03:41
188491,136106,4,3608,3151,2021-11-11 02:08:41
188495,136106,4,3606,3154,2021-11-11 02:13:41
188540,136106,4,3640,3153,2021-11-11 02:18:42
188541,136106,4,3663,3158,2021-11-11 02:23:42
188545,136106,4,3663,3155,2021-11-11 02:28:42
188554,136106,4,3666,3152,2021-11-11 02:33:43
188557,136106,4,3657,3154,2021-11-11 02:38:43
188564,136106,4,3657,3153,2021-11-11 02:43:43
188564,136106,4,3655,3154,2021-11-11 02:48:44
188572,136106,4,3659,3154,2021-11-11 02:53:44
188634,136106,4,3530,3153,2021-11-11 02:58:44
188664,136106,4,3546,3154,2021-11-11 03:03:45
188666,136106,4,3574,3155,2021-11-11 03:08:45
188668,136106,4,3592,3154,2021-11-11 03:13:45
188823,136182,0,3559,3152,2021-11-11 03:18:46
188863,136220,4,3594,3152,2021-11-11 03:24:46
188864,136220,4,3611,3152,2021-11-11 03:31:16
188879,136220,4,3619,3156,2021-11-11 03:37:37
188908,136220,4,3617,3154,2021-11-11 03:43:47
188913,136220,4,3646,3156,2021-11-11 03:48:48
188913,136220,4,3655,3152,2021-11-11 03:53:48
188927,136220,4,3651,3156,2021-11-11 03:58:48
188933,136220,4,3651,3152,2021-11-11 04:03:49
188933,136220,4,3651,3150,2021-11-11 04:08:49
188933,136220,4,3661,3150,2021-11-11 04:13:49
188935,136220,4,3668,3149,2021-11-11 04:18:49
188951,136220,4,3664,3154,2021-11-11 04:25:00
188952,136220,4,3640,3152,2021-11-11 04:31:20
188952,136220,4,3657,3153,2021-11-11 04:36:21
188954,136220,4,3642,3154,2021-11-11 04:41:21
188977,136220,4,3660,3151,2021-11-11 04:46:21
188992,136220,4,3628,3154,2021-11-11 04:51:22
188992,136220,4,3382,3155,2021-11-11 04:56:22
189033,136233,4,3435,3151,2021-11-11 05:01:22
189196,136298,4,3530,3146,2021-11-11 05:06:33
189422,136519,0,3537,3148,2021-11-11 05:11:23
189721,136818,0,3574,3156,2021-11-11 05:16:23
190021,137118,0,3578,3155,2021-11-11 05:21:23
190320,137417,0,3596,3155,2021-11-11 05:26:24
190599,137662,0,3592,3152,2021-11-11 05:31:34
190824,137786,4,3581,3151,2021-11-11 05:36:24
191082,138010,0,3586,3151,2021-11-11 05:41:25
191337,138163,0,3567,3152,2021-11-11 05:46:25
191562,138299,0,3539,3153,2021-11-11 05:51:25
191811,138463,0,3573,3146,2021-11-11 05:56:26
192006,138543,0,3576,3150,2021-11-11 06:01:26
192224,138682,0,3516,3156,2021-11-11 06:06:26
192380,138760,0,3527,3154,2021-11-11 06:11:27
192461,138785,4,3541,3155,2021-11-11 06:16:27
192514,138795,4,3529,3150,2021-11-11 06:21:27
192546,138795,4,3532,3152,2021-11-11 06:26:27
192546,138795,4,3514,3152,2021-11-11 06:31:28
192547,138795,4,3518,3149,2021-11-11 06:36:28
192547,138795,4,3529,3152,2021-11-11 06:41:28
192645,138806,0,3485,3149,2021-11-11 06:46:29
